Пользователь: matvej
  UID   PID TTY           TIME CMD
  501   403 ??         0:58.09 /usr/sbin/distnoted agent
  501   404 ??         0:58.30 /usr/sbin/cfprefsd agent
  501   405 ??         1:00.31 /usr/libexec/secd
  501   407 ??         0:00.88 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  501   408 ??         0:35.93 /usr/libexec/UserEventAgent (Aqua)
  501   413 ??         0:10.43 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  501   414 ??         0:09.44 /usr/sbin/universalaccessd launchd -s
  501   415 ??         0:00.91 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  501   416 ??         0:16.06 /usr/libexec/knowledge-agent
  501   417 ??         0:13.66 /usr/libexec/ContinuityCaptureAgent server
  501   418 ??         0:01.23 /usr/libexec/pboard
  501   419 ??         0:20.25 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  501   420 ??         0:57.64 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  501   421 ??         0:20.68 /usr/libexec/lsd
  501   422 ??         0:04.59 /usr/libexec/linkd
  501   423 ??         0:20.44 /System/Library/CoreServices/talagentd
  501   424 ??         3:21.67 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  501   425 ??         0:17.95 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  501   426 ??         4:33.13 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  501   427 ??         0:05.19 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  501   428 ??         0:00.03 /System/Library/CoreServices/APFSUserAgent
  501   430 ??         0:49.10 /usr/libexec/nsurlsessiond
  501   431 ??         0:20.19 /usr/libexec/rapportd
  501   432 ??         0:01.72 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  501   433 ??         0:26.84 /System/Library/CoreServices/lockoutagent
  501   434 ??         1:35.91 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  501   435 ??         0:06.06 /usr/sbin/usernoted
  501   436 ??         4:19.55 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  501   437 ??         0:00.64 /System/Library/PrivateFrameworks/AccessibilitySupport.framework/Versions/A/Resources/AccessibilityVisualsAgent.app/Contents/MacOS/AccessibilityVisualsAgent
  501   440 ??         2:41.38 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  501   441 ??         0:15.67 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  501   442 ??         0:01.30 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
  501   444 ??         0:00.04 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  501   445 ??         0:03.05 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  501   446 ??         0:00.67 /usr/libexec/dmd
  501   447 ??         0:11.66 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  501   448 ??         0:02.34 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  501   449 ??         0:09.10 /usr/libexec/secinitd
  501   450 ??         0:36.31 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
  501   451 ??         0:00.68 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  501   452 ??         0:00.54 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
  501   453 ??         0:38.75 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  501   454 ??         0:29.65 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  501   455 ??         0:07.60 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  501   456 ??         0:06.19 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
  501   457 ??         0:16.29 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
  501   459 ??         0:00.54 /System/Library/CoreServices/sharedfilelistd
  501   460 ??         2:04.16 /usr/libexec/trustd --agent
