Пользователь: matvej
  PID TTY           TIME CMD
  407 ??         0:12.96 /usr/sbin/distnoted agent
  408 ??         0:13.05 /usr/sbin/cfprefsd agent
  409 ??         0:09.66 /usr/libexec/secd
  411 ??         0:00.43 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  412 ??         0:06.91 /usr/libexec/UserEventAgent (Aqua)
  417 ??         0:02.92 /usr/libexec/knowledge-agent
  418 ??         0:03.76 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  419 ??         0:01.77 /usr/sbin/universalaccessd launchd -s
  420 ??         0:00.40 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  421 ??         0:00.20 /usr/libexec/ContinuityCaptureAgent server
  422 ??         0:00.27 /usr/libexec/pboard
  423 ??         0:03.87 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  424 ??         0:09.25 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  425 ??         0:03.55 /usr/libexec/lsd
  426 ??         0:01.10 /usr/libexec/linkd
  427 ??         0:04.10 /System/Library/CoreServices/talagentd
  428 ??         0:04.29 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  429 ??         0:00.17 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
  430 ??         0:00.21 /System/Library/PrivateFrameworks/AccessibilitySupport.framework/Versions/A/Resources/AccessibilityVisualsAgent.app/Contents/MacOS/AccessibilityVisualsAgent
  431 ??         0:02.27 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  432 ??         0:00.69 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  433 ??         0:00.02 /System/Library/CoreServices/APFSUserAgent
  434 ??         0:29.30 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  436 ??         0:01.58 /usr/libexec/rapportd
  437 ??         0:08.67 /usr/libexec/nsurlsessiond
  438 ??         0:06.50 /System/Library/CoreServices/lockoutagent
  439 ??         0:11.22 /usr/libexec/networkserviceproxy
  440 ??         0:00.96 /usr/sbin/usernoted
  441 ??         0:12.95 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  442 ??         0:00.32 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  443 ??         0:23.67 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  446 ??         0:39.01 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  447 ??         0:01.65 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  448 ??         0:00.01 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  450 ??         0:00.46 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  451 ??         0:00.15 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  452 ??         0:00.45 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
  453 ??         0:00.20 /usr/libexec/dmd
  454 ??         0:01.07 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  455 ??         0:00.11 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  456 ??         0:02.10 /usr/libexec/secinitd
  457 ??         0:01.23 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  458 ??         0:13.97 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
  459 ??         1:48.18 /usr/libexec/trustd --agent
  461 ??         0:00.15 /System/Library/CoreServices/sharedfilelistd
  462 ??         0:00.16 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
  463 ??         0:06.04 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  464 ??         0:04.83 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  465 ??         0:02.09 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
  466 ??         0:08.52 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  467 ??         0:00.81 /usr/libexec/pkd
  468 ??         0:00.07 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  471 ??         0:02.98 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
  472 ??         0:00.88 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  473 ??         0:01.67 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  474 ??         0:11.20 /System/Library/CoreServices/iconservicesagent
  475 ??         0:00.41 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  476 ??         0:09.09 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  477 ??         0:00.71 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  478 ??         0:00.09 /Library/Application Support/Adobe/Adobe OS Extension/Creative Cloud.app/Contents/PlugIns/Adobe Context Menu Extension.appex/Contents/MacOS/Adobe Context Menu Extension -AppleLanguages ("ru-GE", "ka-GE")
  479 ??         0:01.48 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  480 ??         0:00.11 /usr/libexec/intelligentroutingd
  481 ??         0:00.71 /System/Library/CoreServices/audioaccessoryd
  483 ??         0:01.17 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
  484 ??         0:01.77 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
  485 ??         0:00.14 /usr/libexec/diagnosticextensionsd
  486 ??         0:01.56 /usr/libexec/replayd
  487 ??         0:00.05 /usr/libexec/mobilerepaird
  489 ??         0:05.07 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
  490 ??         0:00.01 /System/Library/PrivateFrameworks/login.framework/Versions/A/XPCServices/LoginUserService.xpc/Contents/MacOS/LoginUserService
  491 ??         0:00.02 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  492 ??         0:19.37 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  493 ??         0:09.61 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  494 ??         0:01.09 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  495 ??         0:08.45 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  496 ??         0:25.05 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  497 ??         0:03.44 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  498 ??         0:00.08 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  499 ??         0:00.55 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
